convex_hull_image(image, offset_coordinates=False) [faster]:

         896 function calls (895 primitive calls) in 4.403 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 path.py:228(codes)
        2    0.000    0.000    0.000    0.000 path.py:247(simplify_threshold)
        2    0.000    0.000    0.000    0.000 path.py:266(should_simplify)
        1    0.000    0.000    0.000    0.000 path.py:338(make_compound_path)
        1    0.000    0.000    0.000    0.000 path.py:366(__len__)
        1    0.000    0.000    0.000    0.000 path.py:586(to_polygons)
        1    0.000    0.000    0.000    0.000 path.py:967(clip_to_bbox)
        2    0.000    0.000    0.001    0.001 random.py:100(seed)
       12    0.000    0.000    0.000    0.000 random.py:275(choice)
        2    0.000    0.000    0.001    0.001 random.py:91(__init__)
        2    0.000    0.000    0.000    0.000 shape_base.py:182(vstack)
        3    0.000    0.000    0.000    0.000 shape_base.py:63(atleast_2d)
        2    0.000    0.000    0.000    0.000 tempfile.py:120(__init__)
        2    0.000    0.000    0.001    0.001 tempfile.py:124(rng)
        2    0.000    0.000    0.001    0.001 tempfile.py:135(next)
        1    0.000    0.000    0.000    0.000 tempfile.py:148(_candidate_tempdir_list)
        1    0.000    0.000    0.003    0.003 tempfile.py:176(_get_default_tempdir)
        1    0.000    0.000    0.000    0.000 tempfile.py:221(_get_candidate_names)
        1    0.000    0.000    0.001    0.001 tempfile.py:235(_mkstemp_inner)
        1    0.000    0.000    0.003    0.003 tempfile.py:268(gettempdir)
        1    0.000    0.000    0.004    0.004 tempfile.py:280(mkstemp)
        1    0.000    0.000    0.000    0.000 tempfile.py:45(_set_cloexec)
        1    0.000    0.000    0.000    0.000 transforms.py:279(__array__)
        1    0.000    0.000    0.000    0.000 transforms.py:749(__init__)
        1    0.000    0.000    0.000    0.000 transforms.py:83(__init__)
        1    0.000    0.000    0.000    0.000 transforms.py:986(get_points)
        1    0.000    0.000    0.000    0.000 type_check.py:251(iscomplexobj)
        1    0.001    0.001    0.005    0.005 unique.py:4(unique_rows)
        1    0.000    0.000    0.000    0.000 {_io.open}
        2    0.000    0.000    0.000    0.000 {binascii.hexlify}
        2    0.001    0.001    0.001    0.001 {function seed at 0x0000000009775898}
        4    0.000    0.000    0.000    0.000 {getattr}
        5    0.000    0.000    0.000    0.000 {hasattr}
        7    0.000    0.000    0.000    0.000 {isinstance}
        1    0.000    0.000    0.000    0.000 {issubclass}
    51/50    0.000    0.000    0.000    0.000 {len}
        1    0.000    0.000    0.000    0.000 {matplotlib._path.clip_path_to_rect}
        1    0.000    0.000    0.000    0.000 {matplotlib._path.convert_path_to_polygons}
        4    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
        4    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.003    0.003    0.003    0.003 {method 'argsort' of 'numpy.ndarray' objects}
        3    0.123    0.041    0.123    0.041 {method 'astype' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      129    0.004    0.000    0.004    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
       13    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        4    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
       11    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
        2    0.000    0.000    0.000    0.000 {nt._getfullpathname}
        1    0.000    0.000    0.000    0.000 {nt.close}
        1    0.000    0.000    0.000    0.000 {nt.getcwd}
        2    0.000    0.000    0.000    0.000 {nt.getpid}
        2    0.001    0.001    0.001    0.001 {nt.open}
        1    0.001    0.001    0.001    0.001 {nt.unlink}
        2    0.000    0.000    0.000    0.000 {nt.urandom}
        2    0.000    0.000    0.000    0.000 {numpy.core.multiarray.arange}
      153    0.129    0.001    0.129    0.001 {numpy.core.multiarray.array}
        3    0.000    0.000    0.000    0.000 {numpy.core.multiarray.concatenate}
        1    0.000    0.000    0.000    0.000 {numpy.core.multiarray.copyto}
        4    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        4    0.001    0.000    0.001    0.000 {numpy.core.multiarray.zeros}
        3    0.000    0.000    0.000    0.000 {range}
        1    1.647    1.647    1.647    1.647 {scipy.ndimage._nd_image.binary_erosion2}
        1    2.222    2.222    2.222    2.222 {scipy.ndimage._nd_image.binary_erosion}
       64    0.001    0.000    0.001    0.000 {skimage.draw._draw._line}
        1    0.135    0.135    0.135    0.135 {skimage.morphology._convex_hull.possible_hull}
        1    0.000    0.000    0.000    0.000 {sum}
        2    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 {zip}


'C:/Users/husby036/Documents/Cprojects/test_s2s/testFiles/chull_faster.tif' saved
'C:/Users/husby036/Documents/Cprojects/test_s2s/testFiles/chull_faster_inspection.tif' saved
